Experiment,Model,Accuracy,Balanced Acc,Macro F1,Weighted F1,Params (M),Epochs,Time (min)
convnext_small_finetune,convnext_small,0.7803768680961664,0.7739445043504442,0.7746165601832645,0.7802898943064057,50.2,25,142.71
swin_s_finetune,swin_s,0.7693307342430149,0.761028959603931,0.7612455757965841,0.7686181080966215,49.6,25,130.48
vit_b16_finetune,vit_b_16,0.7524366471734892,0.7454999407360574,0.7464283730841846,0.7523825128187703,86.6,25,166.53
resnet50_finetune,resnet50,0.7186484730344379,0.7097224081523358,0.7130805677398615,0.720850485931544,25.6,25,84.06
efficientnet_b0_finetune,efficientnet_b0,0.6933073424301495,0.683314007985409,0.682354501326072,0.6895516544291906,5.3,25,68.73
